test_index,horizon,epsilon,sigma1_sq,G_TG,G_v2,G_random_mean,G_random_max,G_PGD,alignment
0,20,0.01,8.926376639369948,8.915488439936672,4.862340984835496,1.5090214559127526,2.5922654834634864,8.915522806309815,0.9999984702078427
314,20,0.01,8.12312640005261,8.12631033358233,7.384570295564008,1.634840190870635,2.4292987446036824,8.126365307371476,0.9999969801991313
629,20,0.01,7.79836880421403,7.79785536882625,6.818681088337296,1.7984028725571553,3.3353624559454937,7.7979198560828165,0.99999637364569
944,20,0.01,5.963294768161402,5.967073014816099,3.6428065054657943,1.287935103631472,2.3050718887888806,5.967147197305131,0.9999946280263434
1258,20,0.01,5.436130396928849,5.44457406890987,4.29115813586847,1.4240122266073434,2.06216627866124,5.44461104991804,0.9999970141972172
1573,20,0.01,5.731393640090627,5.737668024012325,4.544209063183382,1.4724093512128946,3.0280433147077686,5.737750021311459,0.999993519457982
1888,20,0.01,8.786835194068278,8.805521501540747,6.165978896371593,1.7674443886211475,2.909474042406471,8.805594993609137,0.9999963452029761
2202,20,0.01,8.964059274848685,8.966642032174565,7.009656422143698,1.6777896890498076,4.33866701466373,8.966749529386018,0.9999948379846408
2517,20,0.01,7.983540831759383,7.9913126752957755,4.8841410376564935,1.790009014928215,2.6358959180847887,7.991370715236156,0.9999967461724037
2832,20,0.01,8.446408901008176,8.440763122827724,6.945830524709732,2.0411674441085057,3.2013664934076798,8.440820281757233,0.9999970156962431
3146,20,0.01,4.681928241661827,4.684781327725792,4.588592414381968,1.3758799119377083,2.0853552972499076,4.68483865395258,0.9999944164548895
3461,20,0.01,8.85686053110701,8.857049733485304,5.551684349752751,1.839749559187032,3.26630059543944,8.85713931207736,0.999995697686128
3776,20,0.01,7.411213967100651,7.41198887501643,5.502363907113677,1.4278935787027796,2.1418463605667974,7.412049948507963,0.9999965544007909
4090,20,0.01,6.5252739314521975,6.530979311014533,4.0210384995426365,1.2928640481784712,2.6561112763018033,6.531040308045958,0.9999958726002289
4405,20,0.01,9.140392748366779,9.145784647705234,4.68248037038665,1.741381375916567,2.8972745633163934,9.145817194119807,0.9999985668881096
4720,20,0.01,6.108640224649469,6.109700559224887,4.480099010846336,1.2656858530779587,2.1302656245121407,6.1097415076831245,0.9999970466830157
5034,20,0.01,6.210249263611247,6.214588772287862,5.734175227959928,1.7541805965804667,2.8053151457716834,6.214637114448905,0.9999964908347624
5349,20,0.01,5.123550681156255,5.124375879814604,3.5862225985830825,1.2538078110607196,1.729043907780894,5.1244386826646435,0.9999944768511557
5664,20,0.01,4.558470758650074,4.5508762004997525,4.389076970883198,1.3813034826277495,2.263273309057296,4.5509107793510974,0.999996630217787
5979,20,0.01,6.58050213855432,6.577806818254403,3.3117540282561273,1.4534273502425905,2.1782792114266045,6.577845912295147,0.9999975766859491
